Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2019-01-01,2127.65,2151.0,2105.6,2121.7,2149.0,2148.1,2131.37,2220.0,1828.5,1593360.0,3396043277.4,50308.0
2019-01-02,2142.8,2147.5,2119.7,2148.1,2127.0,2128.5,2132.45,2220.0,1828.5,2033558.0,4336463537.4,95751.0
2019-01-03,2124.2,2128.25,2103.0,2128.5,2110.0,2111.8,2112.75,2220.0,1828.5,3192916.0,6745826356.05,129992.0
2019-01-04,2115.25,2128.5,2110.35,2111.8,2118.85,2117.45,2119.55,2220.0,1828.5,1821780.0,3861355797.55,71863.0
2019-01-07,2127.7,2135.35,2118.0,2117.45,2120.5,2120.65,2128.37,2220.0,1828.5,1346753.0,2866387728.65,51524.0
2019-01-08,2122.0,2123.5,2096.65,2120.65,2102.9,2103.0,2105.77,2220.0,1828.5,2085865.0,4392343434.15,63105.0
2019-01-09,2118.0,2121.35,2102.6,2103.0,2116.8,2116.8,2112.62,2220.0,1828.5,2142157.0,4525566666.15,86929.0
2019-01-10,2117.0,2123.8,2092.65,2116.8,2106.6,2108.5,2114.87,2220.0,1828.5,1922885.0,4066660283.85,79438.0
2019-01-11,2113.8,2124.0,2108.0,2108.5,2115.0,2111.9,2114.59,2220.0,1828.5,1602010.0,3387596238.95,68529.0
2019-01-14,2109.9,2109.9,2098.45,2111.9,2104.9,2101.65,2102.69,2220.0,1828.5,1213790.0,2552219684.45,58066.0
2019-01-15,2105.05,2126.5,2102.0,2101.65,2117.0,2121.9,2118.86,2220.0,1828.5,1271889.0,2694949646.95,55681.0
2019-01-16,2120.05,2125.0,2108.25,2121.9,2117.0,2120.2,2118.69,2220.0,1828.5,1313113.0,2782077967.0,72148.0
2019-01-17,2125.25,2135.9,2113.35,2120.2,2130.4,2132.3,2124.86,2220.0,1828.5,2060057.0,4377341580.55,77528.0
2019-01-18,2135.0,2139.0,2114.55,2132.3,2130.0,2130.25,2128.13,2220.0,1828.5,1301994.0,2770812571.25,67451.0
2019-01-21,2139.95,2166.5,2126.5,2130.25,2145.4,2148.15,2151.51,2220.0,1828.5,4390378.0,9445947630.45,144556.0
2019-01-22,2146.0,2146.8,2129.05,2148.15,2132.25,2135.85,2136.85,2220.0,1828.5,2199244.0,4699456324.45,119550.0
2019-01-23,2134.0,2135.85,2101.45,2135.85,2106.95,2105.4,2123.27,2220.0,1828.5,1906072.0,4047104726.75,85545.0
2019-01-24,2110.0,2121.65,2097.9,2105.4,2098.6,2102.25,2109.73,2220.0,1828.5,2527893.0,5333167868.85,141995.0
2019-01-25,2093.0,2110.0,2090.0,2102.25,2092.05,2096.0,2102.2,2220.0,1828.5,2815559.0,5918870073.55,109171.0
2019-01-28,2090.0,2102.05,2076.75,2096.0,2087.0,2084.15,2090.88,2220.0,1828.5,3840109.0,8029190019.85,170502.0
2019-01-29,2078.25,2083.0,2053.0,2084.15,2059.4,2057.6,2067.93,2220.0,1828.5,3690697.0,7632110523.3,124666.0
2019-01-30,2057.25,2057.25,2028.0,2057.6,2033.5,2034.7,2035.54,2220.0,1828.5,4628540.0,9421572630.55,197593.0
2019-01-31,2031.0,2089.75,2022.0,2034.7,2073.0,2079.95,2060.96,2220.0,1828.5,4144851.0,8542369085.8,155825.0
2019-02-01,2079.95,2117.0,2076.6,2079.95,2095.75,2090.45,2099.48,2220.0,1828.5,3913547.0,8216405021.45,116055.0
2019-02-04,2095.0,2113.0,2082.65,2090.45,2098.55,2104.9,2097.57,2220.0,1828.5,1984572.0,4162769920.2,145764.0
2019-02-05,2108.0,2119.0,2097.0,2104.9,2115.0,2114.05,2110.78,2220.0,1828.5,2172572.0,4585820145.8,73303.0
2019-02-06,2116.25,2127.0,2113.6,2114.05,2122.0,2122.65,2120.9,2220.0,1828.5,2718921.0,5766554240.8,106255.0
2019-02-07,2125.05,2130.0,2105.85,2122.65,2110.9,2117.25,2122.39,2220.0,1828.5,1804327.0,3829487756.5,80400.0
2019-02-08,2112.0,2144.95,2106.65,2117.25,2117.0,2122.65,2126.16,2220.0,1828.5,3058911.0,6503720043.85,98707.0
2019-02-11,2113.3,2142.9,2113.3,2122.65,2139.0,2139.65,2132.18,2220.0,1828.5,1759091.0,3750705910.6,75240.0
2019-02-12,2138.0,2148.0,2124.8,2139.65,2130.05,2129.7,2137.61,2220.0,1828.5,2443097.0,5222380330.05,140474.0
2019-02-13,2135.55,2155.0,2132.3,2129.7,2140.0,2143.45,2146.54,2220.0,1828.5,2360187.0,5066246582.8,110054.0
2019-02-14,2140.0,2140.0,2105.6,2143.45,2112.0,2110.2,2117.31,2220.0,1828.5,1860347.0,3938937722.7,142536.0
2019-02-15,2107.35,2108.1,2078.2,2110.2,2100.7,2100.65,2091.52,2220.0,1828.5,2104131.0,4400828253.75,89754.0
2019-02-18,2106.8,2118.0,2086.0,2100.65,2089.7,2089.9,2098.16,2220.0,1828.5,1784686.0,3744564837.75,74022.0
2019-02-19,2089.7,2108.15,2078.2,2089.9,2083.45,2084.05,2095.84,2220.0,1828.5,1317159.0,2760560754.0,76740.0
2019-02-20,2088.5,2111.0,2081.9,2084.05,2109.0,2108.35,2095.02,2220.0,1828.5,1223125.0,2562466713.25,74227.0
2019-02-21,2101.7,2119.95,2093.6,2108.35,2115.7,2115.9,2106.26,2220.0,1828.5,1315386.0,2770549994.85,66123.0
2019-02-22,2119.4,2128.1,2089.1,2115.9,2091.0,2091.45,2099.68,2220.0,1828.5,2222677.0,4666916025.0,91486.0
2019-02-25,2095.15,2129.95,2095.15,2091.45,2123.0,2125.4,2113.52,2220.0,1828.5,2035149.0,4301319701.45,101852.0
2019-02-26,2111.25,2125.0,2101.1,2125.4,2109.0,2110.65,2113.91,2220.0,1828.5,2401857.0,5077309232.0,80521.0
2019-02-27,2116.1,2124.45,2088.15,2110.65,2093.0,2092.25,2099.89,2220.0,1828.5,1757523.0,3690596308.9,78384.0
2019-02-28,2093.1,2105.85,2073.2,2092.25,2076.9,2077.55,2089.8,2220.0,1828.5,2911344.0,6084140082.45,85218.0
2019-03-01,2086.25,2100.9,2077.0,2077.55,2080.0,2083.35,2087.11,2220.0,1828.5,2338232.0,4880142636.85,106043.0
2019-03-05,2088.9,2111.1,2070.0,2083.35,2107.0,2107.1,2085.84,2220.0,1828.5,2959319.0,6172679648.4,169911.0
2019-03-06,2110.0,2110.3,2090.55,2107.1,2103.15,2104.25,2098.7,2220.0,1828.5,2114511.0,4437716881.25,91985.0
2019-03-07,2109.6,2130.0,2095.0,2104.25,2125.2,2126.5,2112.14,2220.0,1828.5,2551213.0,5388507260.25,104364.0
2019-03-08,2115.05,2130.0,2109.45,2126.5,2129.0,2128.2,2118.36,2220.0,1828.5,1763365.0,3735433351.4,102091.0
2019-03-11,2132.0,2143.7,2122.2,2128.2,2127.5,2128.45,2131.9,2220.0,1833.5,2306027.0,4916219772.55,81824.0
2019-03-12,2147.0,2175.0,2137.0,2128.45,2168.0,2171.0,2154.73,2220.0,1833.5,3774323.0,8132629564.25,119425.0
2019-03-13,2175.0,2234.0,2172.1,2171.0,2229.0,2226.55,2206.86,2234.0,1833.5,14291587.0,31539499506.0,226692.0
2019-03-14,2244.85,2247.5,2210.6,2226.55,2223.05,2224.75,2225.44,2247.5,1833.5,3844966.0,8556754695.15,136351.0
2019-03-15,2231.0,2259.9,2228.05,2224.75,2258.0,2253.0,2247.38,2259.9,1833.5,3190772.0,7170888264.5,155151.0
2019-03-18,2261.9,2291.65,2247.0,2253.0,2270.0,2261.45,2266.32,2291.65,1833.5,3589680.0,8135378380.9,186267.0
2019-03-19,2269.5,2275.9,2251.0,2261.45,2268.0,2267.75,2262.32,2291.65,1833.5,2989498.0,6763202098.5,149528.0
2019-03-20,2269.0,2300.0,2261.05,2267.75,2299.0,2299.0,2287.11,2300.0,1833.5,2927998.0,6696660989.55,154406.0
2019-03-22,2300.0,2307.0,2270.8,2299.0,2275.1,2276.15,2284.13,2307.0,1833.5,7600970.0,17361577310.25,136216.0
2019-03-25,2260.0,2287.85,2253.0,2276.15,2278.0,2281.3,2270.95,2307.0,1833.5,2299815.0,5222754084.55,103519.0
2019-03-26,2275.9,2315.0,2272.6,2281.3,2313.5,2311.35,2293.76,2315.0,1833.5,2946712.0,6759060898.4,106093.0
2019-03-27,2318.55,2328.05,2279.05,2311.35,2301.0,2299.45,2306.72,2328.05,1833.5,3471325.0,8007363872.95,186247.0
2019-03-28,2298.8,2325.0,2287.85,2299.45,2308.0,2302.8,2304.15,2328.05,1833.5,4888582.0,11264012692.85,149850.0
2019-03-29,2304.6,2325.0,2294.0,2302.8,2316.0,2318.9,2308.98,2328.05,1833.5,2986742.0,6896338338.65,116289.0
2019-04-01,2325.25,2332.0,2304.6,2318.9,2306.85,2311.8,2320.63,2332.0,1860.3,2411769.0,5596835494.0,131919.0
