Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2019-01-01,7449.75,7494.0,7395.0,7465.5,7476.85,7476.8,7443.84,9929.0,6500.0,625360.0,4655079100.35,55211.0
2019-01-02,7445.0,7460.0,7244.0,7476.8,7269.0,7267.85,7338.3,9929.0,6500.0,891844.0,6544620434.9,97563.0
2019-01-03,7280.0,7350.0,7185.6,7267.85,7191.0,7203.95,7271.97,9929.0,6500.0,715168.0,5200678866.4,86856.0
2019-01-04,7239.0,7309.0,7161.2,7203.95,7249.95,7234.5,7236.84,9929.0,6500.0,774445.0,5604532562.9,76134.0
2019-01-07,7310.0,7407.0,7300.0,7234.5,7376.0,7362.05,7360.72,9929.0,6500.0,687845.0,5063034150.55,66024.0
2019-01-08,7380.0,7454.8,7322.1,7362.05,7440.0,7439.5,7400.56,9929.0,6500.0,516841.0,3824910448.4,59758.0
2019-01-09,7460.5,7529.0,7414.0,7439.5,7481.0,7492.9,7490.62,9929.0,6500.0,740580.0,5547404597.15,77462.0
2019-01-10,7500.0,7511.0,7360.15,7492.9,7367.0,7391.6,7444.34,9929.0,6500.0,452699.0,3370045089.95,48105.0
2019-01-11,7382.7,7400.0,7282.0,7391.6,7307.0,7320.5,7332.02,9929.0,6500.0,488399.0,3580950024.2,52691.0
2019-01-14,7330.0,7433.35,7257.0,7320.5,7425.0,7408.7,7336.79,9929.0,6500.0,424152.0,3111915153.25,53821.0
2019-01-15,7430.0,7470.0,7317.0,7408.7,7349.0,7355.15,7381.23,9929.0,6500.0,491196.0,3625628249.45,62664.0
2019-01-16,7349.5,7384.0,7291.1,7355.15,7304.05,7310.25,7329.03,9929.0,6500.0,424769.0,3113143898.7,52831.0
2019-01-17,7339.0,7398.95,7307.5,7310.25,7330.0,7336.25,7352.95,9929.0,6500.0,462725.0,3402392796.55,58345.0
2019-01-18,7345.0,7379.95,7318.0,7336.25,7370.0,7357.95,7350.76,9929.0,6500.0,334555.0,2459232487.0,36092.0
2019-01-21,7358.0,7380.0,7161.0,7357.95,7188.0,7208.4,7266.86,9929.0,6500.0,654537.0,4756431916.75,99182.0
2019-01-22,7180.0,7180.0,7054.5,7208.4,7056.0,7068.85,7095.48,9929.0,6500.0,896521.0,6361244400.55,128669.0
2019-01-23,7050.0,7132.25,7025.0,7068.85,7044.0,7045.4,7065.07,9929.0,6500.0,702474.0,4963030699.6,67947.0
2019-01-24,7059.9,7098.0,7014.4,7045.4,7058.7,7040.6,7058.58,9929.0,6500.0,520703.0,3675424081.6,58624.0
2019-01-25,7054.0,7133.0,6410.0,7040.6,6469.9,6513.4,6687.48,9929.0,6410.0,3062762.0,20482145241.7,279196.0
2019-01-28,6512.5,6610.0,6317.7,6513.4,6510.5,6511.05,6463.35,9929.0,6317.7,2398091.0,15499707388.9,264941.0
2019-01-29,6480.0,6619.15,6447.4,6511.05,6520.0,6526.95,6538.7,9929.0,6317.7,1101399.0,7201712458.35,124843.0
2019-01-30,6559.0,6588.0,6508.0,6526.95,6565.0,6548.25,6542.56,9929.0,6317.7,583773.0,3819371533.7,70798.0
2019-01-31,6575.0,6660.05,6460.05,6548.25,6635.0,6641.15,6548.88,9929.0,6317.7,926270.0,6066027944.5,110666.0
2019-02-01,6679.0,7204.0,6652.55,6641.15,6930.0,6962.3,6951.19,9929.0,6317.7,2545419.0,17693698166.8,263029.0
2019-02-04,6975.0,7039.0,6851.65,6962.3,7005.65,6988.2,6954.72,9929.0,6317.7,658776.0,4581605508.05,76227.0
2019-02-05,6995.0,7125.0,6985.4,6988.2,7125.0,7093.6,7059.63,9929.0,6317.7,681498.0,4811121560.2,73807.0
2019-02-06,7120.0,7220.0,7067.0,7093.6,7195.05,7183.4,7140.65,9929.0,6317.7,567827.0,4054652959.75,61950.0
2019-02-07,7201.0,7320.0,7185.1,7183.4,7286.0,7302.55,7272.3,9929.0,6317.7,690174.0,5019153995.3,76768.0
2019-02-08,7270.0,7300.0,7100.0,7302.55,7115.2,7134.25,7191.38,9929.0,6317.7,576159.0,4143378212.1,78367.0
2019-02-11,7150.0,7209.95,7051.1,7134.25,7198.65,7177.9,7133.32,9929.0,6317.7,502244.0,3582669583.6,63736.0
2019-02-12,7193.0,7230.0,7127.95,7177.9,7141.0,7162.5,7188.98,9929.0,6317.7,494592.0,3555609756.8,65794.0
2019-02-13,7157.0,7165.0,6994.35,7162.5,7061.0,7028.25,7082.84,9929.0,6317.7,563690.0,3992525118.35,87718.0
2019-02-14,7036.7,7111.2,6990.0,7028.25,7039.9,7017.5,7040.3,9929.0,6317.7,622311.0,4381258068.75,78325.0
2019-02-15,7027.4,7058.7,6900.0,7017.5,6915.0,6930.05,6972.04,9929.0,6317.7,768798.0,5360092163.5,85622.0
2019-02-18,6964.7,6997.8,6817.0,6930.05,6834.95,6842.7,6877.06,9929.0,6317.7,509963.0,3507046836.7,67398.0
2019-02-19,6855.0,6915.9,6771.0,6842.7,6815.0,6804.55,6866.95,9929.0,6317.7,493861.0,3391320281.95,59750.0
2019-02-20,6842.0,6888.0,6804.4,6804.55,6849.95,6849.9,6844.34,9929.0,6317.7,534284.0,3656818737.95,58220.0
2019-02-21,6868.95,6879.65,6715.0,6849.9,6818.05,6801.55,6779.81,9929.0,6317.7,722938.0,4901379180.85,90347.0
2019-02-22,6827.0,6939.0,6819.05,6801.55,6919.0,6912.4,6899.91,9929.0,6317.7,764535.0,5275220020.0,67465.0
2019-02-25,6948.0,6984.9,6870.05,6912.4,6930.2,6924.9,6926.21,9929.0,6317.7,495728.0,3433518426.2,62728.0
2019-02-26,6885.0,6975.0,6812.6,6924.9,6900.0,6904.3,6895.74,9929.0,6317.7,673415.0,4643695673.4,67933.0
2019-02-27,6943.0,7048.0,6853.2,6904.3,6947.25,6968.5,6960.32,9929.0,6317.7,961829.0,6694636021.55,100907.0
2019-02-28,7010.0,7040.0,6801.0,6968.5,6831.95,6829.7,6881.48,9929.0,6317.7,1031563.0,7098685243.8,120214.0
2019-03-01,6876.8,6950.0,6827.25,6829.7,6938.95,6935.15,6894.86,9929.0,6317.7,768822.0,5300920300.5,70081.0
2019-03-05,6950.0,7158.15,6894.45,6935.15,7130.0,7117.75,7040.88,9929.0,6317.7,838538.0,5904042757.9,88633.0
2019-03-06,7137.85,7144.9,7010.0,7117.75,7053.0,7056.9,7071.79,9929.0,6317.7,557197.0,3940379306.1,57525.0
2019-03-07,7078.0,7092.5,7002.0,7056.9,7020.0,7029.05,7036.35,9929.0,6317.7,396771.0,2791820856.35,48429.0
2019-03-08,6975.0,7025.0,6951.0,7029.05,6960.0,6967.7,6987.8,9929.0,6317.7,486432.0,3399088644.55,53304.0
2019-03-11,6980.0,7121.6,6975.0,6967.7,7068.05,7081.9,7075.19,9929.0,6317.7,720905.0,5100541634.55,87743.0
2019-03-12,7097.0,7232.0,7096.0,7081.9,7130.3,7157.2,7182.59,9929.0,6317.7,828847.0,5953269620.75,79990.0
2019-03-13,7177.0,7202.95,7050.0,7157.2,7094.0,7091.05,7111.31,9929.0,6317.7,534982.0,3804421750.75,60144.0
2019-03-14,7103.0,7148.0,7047.25,7091.05,7091.0,7086.3,7086.66,9929.0,6317.7,584482.0,4142023832.2,77800.0
2019-03-15,7109.0,7157.0,7060.0,7086.3,7103.6,7084.0,7098.49,9929.0,6317.7,861945.0,6118508750.45,68340.0
2019-03-18,7077.45,7077.45,6776.6,7084.0,6902.0,6909.1,6877.73,9929.0,6317.7,1525653.0,10493033072.6,203794.0
2019-03-19,6900.0,6901.95,6809.25,6909.1,6816.0,6825.2,6849.5,9929.0,6317.7,816763.0,5594419494.95,86822.0
2019-03-20,6860.0,6860.0,6650.0,6825.2,6652.0,6673.55,6743.05,9929.0,6317.7,1017560.0,6861455439.25,122454.0
2019-03-22,6567.0,6716.3,6532.35,6673.55,6555.0,6552.7,6595.68,9929.0,6317.7,1715983.0,11318068782.3,146685.0
2019-03-25,6515.0,6621.0,6491.2,6552.7,6520.0,6522.6,6538.23,9929.0,6317.7,1093184.0,7147489392.6,105876.0
2019-03-26,6558.0,6600.0,6480.0,6522.6,6595.0,6585.7,6541.39,9929.0,6317.7,909087.0,5946695604.85,100956.0
2019-03-27,6628.0,6640.0,6500.0,6585.7,6505.05,6518.0,6564.08,9929.0,6317.7,887601.0,5826280100.0,95393.0
2019-03-28,6535.0,6625.0,6501.2,6518.0,6609.8,6596.25,6558.69,9929.0,6317.7,949713.0,6228872558.55,100996.0
2019-03-29,6610.0,6775.0,6565.1,6596.25,6672.0,6672.55,6699.93,9929.0,6317.7,1458092.0,9769119265.4,148778.0
2019-04-01,6730.8,6870.0,6700.0,6672.55,6840.0,6840.7,6812.42,9929.0,6317.7,1142386.0,7782414880.9,114137.0
2019-04-02,6859.45,6900.7,6785.5,6840.7,6890.0,6889.7,6862.02,9929.0,6317.7,866805.0,5948033441.4,91325.0
2019-04-03,6896.0,7098.0,6896.0,6889.7,7091.0,7072.9,7021.88,9929.0,6317.7,1491021.0,10469774729.35,115921.0
2019-04-04,7120.0,7170.0,7061.65,7072.9,7108.9,7113.1,7117.87,9929.0,6317.7,1388375.0,9882271361.0,116312.0
2019-04-05,7095.0,7143.95,7050.0,7113.1,7103.7,7107.7,7102.19,9929.0,6317.7,729603.0,5181779937.6,68649.0
2019-04-08,7107.0,7150.0,7044.7,7107.7,7127.0,7129.45,7102.35,9929.0,6317.7,498374.0,3539627821.2,54468.0
2019-04-09,7134.0,7235.0,7080.0,7129.45,7230.0,7216.55,7155.98,9929.0,6317.7,741669.0,5307371261.1,66791.0
