Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2019-01-01,1125.25,1127.3,1110.1,1121.25,1120.5,1121.0,1119.01,1329.0,871.0,4455850.0,4986129073.4,76742.0
2019-01-02,1114.5,1127.0,1101.0,1121.0,1104.35,1106.4,1113.42,1329.0,871.0,7144970.0,7955342409.7,147850.0
2019-01-03,1107.5,1114.6,1090.1,1106.4,1090.3,1092.75,1101.37,1329.0,871.0,7446457.0,8201291658.05,231404.0
2019-01-04,1097.4,1104.45,1081.1,1092.75,1099.6,1098.65,1093.06,1329.0,871.0,8465141.0,9252946937.2,189220.0
2019-01-07,1107.0,1118.45,1101.0,1098.65,1104.9,1104.75,1110.32,1329.0,871.0,5513559.0,6121831037.3,112082.0
2019-01-08,1105.1,1109.95,1096.0,1104.75,1101.0,1104.65,1103.82,1329.0,871.0,5625153.0,6209150562.95,103758.0
2019-01-09,1112.0,1117.0,1098.7,1104.65,1109.25,1110.75,1110.55,1329.0,871.0,5766805.0,6404322207.1,186143.0
2019-01-10,1107.75,1111.0,1103.0,1110.75,1107.6,1107.5,1106.3,1329.0,871.0,4080283.0,4514020687.2,92025.0
2019-01-11,1107.6,1113.8,1088.6,1107.5,1095.5,1098.05,1099.31,1329.0,871.0,6463903.0,7105842454.2,162386.0
2019-01-14,1095.0,1100.5,1086.4,1098.05,1099.0,1096.8,1093.55,1329.0,871.0,4111782.0,4496426168.75,97120.0
2019-01-15,1105.0,1132.0,1105.0,1096.8,1130.95,1129.65,1124.77,1329.0,871.0,10062875.0,11318469360.0,187957.0
2019-01-16,1135.0,1145.0,1130.35,1129.65,1136.5,1135.9,1139.05,1329.0,871.0,6382777.0,7270322619.05,129953.0
2019-01-17,1144.45,1147.9,1130.0,1135.9,1133.0,1134.45,1139.3,1329.0,871.0,7487963.0,8531072686.5,135936.0
2019-01-18,1148.8,1189.9,1135.25,1134.45,1185.8,1184.35,1162.97,1329.0,871.0,25684142.0,29870001778.85,438550.0
2019-01-21,1194.0,1239.95,1188.65,1184.35,1235.0,1237.7,1222.77,1329.0,871.0,22038534.0,26948045198.35,403702.0
2019-01-22,1232.85,1246.95,1219.6,1237.7,1232.0,1235.15,1234.02,1329.0,871.0,16552819.0,20426529561.5,283673.0
